run_id,group,producer_bhp_psi,gas_inj_rate_mscf_d,inj_bhp_limit_psi,init_prod_period_days,perm_multiplier,poro_multiplier,final_time_days,final_fopt,final_fopr,final_fpr,final_fgpr,final_fgit,peak_fopr,peak_fpr,min_fpr
25,Producer_BHP,3771.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76143.54,0.438478,4780.624,34.60754,270983.5,542.0947,7361.521,4780.624
26,Injection_Rate,3000.0,27.01,10000.0,3230.0,1.0,1.0,8000.0,75575.6,0.462291,3794.685,27.00741,213037.7,609.9865,7042.286,3794.685
27,Injection_Rate,3000.0,30.84,10000.0,3230.0,1.0,1.0,8000.0,75902.61,0.446603,3903.05,30.8375,242783.1,598.6115,7035.541,3903.05
28,Injection_Rate,3000.0,35.01,10000.0,3230.0,1.0,1.0,8000.0,76210.22,0.436087,4020.352,35.00756,275059.0,610.6051,7036.635,4020.352
29,Injection_Rate,3000.0,25.19,10000.0,3230.0,1.0,1.0,8000.0,75403.49,0.469895,3742.937,25.18737,198843.4,610.4985,7037.833,3742.937
30,Injection_Rate,3000.0,27.89,10000.0,3230.0,1.0,1.0,8000.0,75655.76,0.454827,3819.656,27.88745,219887.6,609.9865,7042.286,3819.656
31,Injection_Rate,3000.0,32.35,10000.0,3230.0,1.0,1.0,8000.0,76017.26,0.436468,3945.603,32.34756,254506.1,609.9865,7042.285,3945.603
32,Injection_Rate,3000.0,28.59,10000.0,3230.0,1.0,1.0,8000.0,75716.75,0.451842,3839.504,28.58747,225325.0,610.4985,7037.833,3839.504
33,Injection_Rate,3000.0,31.48,10000.0,3230.0,1.0,1.0,8000.0,75950.93,0.438616,3921.08,31.47754,247768.3,609.9865,7042.286,3921.08
34,Injection_Rate,3000.0,37.17,10000.0,3230.0,1.0,1.0,8000.0,76360.71,0.429761,4080.72,37.16759,291708.2,610.6044,7036.628,4080.72
35,Injection_Rate,3000.0,44.62,10000.0,3230.0,1.0,1.0,8000.0,76800.28,0.40572,4286.765,44.61773,348747.4,602.379,7035.1,4286.765
36,Injection_Rate,3000.0,35.89,10000.0,3230.0,1.0,1.0,8000.0,76272.37,0.434075,4044.991,35.88757,281836.4,609.3667,7043.532,4044.991
37,Injection_Rate,3000.0,42.59,10000.0,3230.0,1.0,1.0,8000.0,76691.74,0.409878,4230.869,42.58771,333275.0,610.4986,7037.833,4230.869
38,Injection_Rate,3000.0,42.27,10000.0,3230.0,1.0,1.0,8000.0,76673.96,0.411079,4222.096,42.2677,330805.8,598.6116,7035.541,4222.096
39,Injection_Rate,3000.0,43.93,10000.0,3230.0,1.0,1.0,8000.0,76763.87,0.407065,4267.78,43.92772,343513.4,609.9865,7042.285,4267.78
40,Injection_Rate,3000.0,26.37,10000.0,3230.0,1.0,1.0,8000.0,75516.77,0.464556,3776.507,26.3674,208043.3,604.4428,7040.969,3776.507
41,Injection_Rate,3000.0,25.06,10000.0,3230.0,1.0,1.0,8000.0,75390.69,0.47095,3739.231,25.05736,197829.4,610.4985,7037.833,3739.231
42,Injection_Rate,3000.0,35.6,10000.0,3230.0,1.0,1.0,8000.0,76251.99,0.434775,4036.874,35.59756,279605.3,603.5151,7037.719,4036.874
43,Injection_Rate,3000.0,32.57,10000.0,3230.0,1.0,1.0,8000.0,76033.19,0.435767,3951.81,32.56756,256198.3,610.6048,7036.634,3951.81
44,Injection_Rate,3000.0,33.5,10000.0,3230.0,1.0,1.0,8000.0,76101.18,0.435954,3977.967,33.49756,263393.8,610.6056,7036.637,3977.967
45,Injection_Rate,3000.0,40.39,10000.0,3230.0,1.0,1.0,8000.0,76564.85,0.41901,4170.098,40.38766,316425.6,609.3661,7043.532,4170.098
46,Injection_Rate,3000.0,37.94,10000.0,3230.0,1.0,1.0,8000.0,76411.91,0.426832,4102.174,37.93761,297647.4,609.9865,7042.285,4102.174
47,Injection_Rate,3000.0,39.22,10000.0,3230.0,1.0,1.0,8000.0,76493.64,0.422994,4137.663,39.21763,307466.2,604.6856,7028.886,4137.663
48,Injection_Rate,3000.0,41.18,10000.0,3230.0,1.0,1.0,8000.0,76612.35,0.415349,4191.936,41.17768,322507.0,609.9865,7042.286,4191.936
49,Injection_Rate,3000.0,29.26,10000.0,3230.0,1.0,1.0,8000.0,75774.74,0.451022,3858.442,29.25747,230530.9,610.4985,7037.833,3858.442
50,Injection_Rate,3000.0,38.35,10000.0,3230.0,1.0,1.0,8000.0,76438.27,0.425575,4113.576,38.34762,300784.6,604.6856,7028.886,4113.576
51,Injector_BHP_Limit,3000.0,34.61,10700.0,3230.0,1.0,1.0,8000.0,76187.01,0.435667,4008.929,34.60756,272636.5,653.0632,7435.373,4008.929
52,Injector_BHP_Limit,3000.0,34.61,8438.0,3230.0,1.0,1.0,8000.0,76161.45,0.439849,4009.863,34.60754,269556.7,499.9756,6138.557,4009.863
53,Injector_BHP_Limit,3000.0,34.61,10495.0,3230.0,1.0,1.0,8000.0,76185.27,0.435979,4008.988,34.60756,272455.1,644.7842,7324.756,4008.988
54,Injector_BHP_Limit,3000.0,34.61,9924.0,3230.0,1.0,1.0,8000.0,76180.57,0.436732,4009.165,34.60755,271882.8,607.0865,6998.684,4009.165
55,Injector_BHP_Limit,3000.0,34.61,9414.0,3230.0,1.0,1.0,8000.0,76175.42,0.437654,4009.358,34.60755,271268.6,558.441,6698.242,4009.358
56,Injector_BHP_Limit,3000.0,34.61,8662.0,3230.0,1.0,1.0,8000.0,76165.29,0.439232,4009.73,34.60754,270019.0,494.3121,6280.823,4009.73
57,Injector_BHP_Limit,3000.0,34.61,9573.0,3230.0,1.0,1.0,8000.0,76177.2,0.437357,4009.291,34.60755,271475.8,572.5437,6790.529,4009.291
58,Injector_BHP_Limit,3000.0,34.61,9065.0,3230.0,1.0,1.0,8000.0,76171.14,0.438351,4009.518,34.60755,270740.3,540.7434,6501.503,4009.518
59,Injector_BHP_Limit,3000.0,34.61,11891.0,3230.0,1.0,1.0,8000.0,76194.53,0.434447,4008.654,34.60757,273463.1,750.3556,8141.16,4008.654
60,Injector_BHP_Limit,3000.0,34.61,11421.0,3230.0,1.0,1.0,8000.0,76192.04,0.43412,4008.743,34.60757,273167.6,721.337,7849.269,4008.743
61,Injector_BHP_Limit,3000.0,34.61,8167.0,3230.0,1.0,1.0,8000.0,76156.02,0.441005,4010.068,34.60753,268894.3,554.1254,5989.708,4010.068
62,Injector_BHP_Limit,3000.0,34.61,11134.0,3230.0,1.0,1.0,8000.0,76189.96,0.435201,4008.822,34.60756,272974.4,695.3586,7681.355,4008.822
63,Injector_BHP_Limit,3000.0,34.61,9769.0,3230.0,1.0,1.0,8000.0,76179.23,0.437019,4009.22,34.60755,271708.4,587.2069,6896.498,4009.22
64,Injector_BHP_Limit,3000.0,34.61,8491.0,3230.0,1.0,1.0,8000.0,76161.99,0.439805,4009.845,34.60754,269650.3,495.1791,6172.64,4009.845
65,Injector_BHP_Limit,3000.0,34.61,11245.0,3230.0,1.0,1.0,8000.0,76190.61,0.435,4008.792,34.60757,273051.3,702.255,7760.895,4008.792
66,Injector_BHP_Limit,3000.0,34.61,10236.0,3230.0,1.0,1.0,8000.0,76183.46,0.436272,4009.063,34.60756,272217.7,618.2025,7166.011,4009.063
67,Injector_BHP_Limit,3000.0,34.61,8032.0,3230.0,1.0,1.0,8000.0,76153.12,0.441555,4010.179,34.60753,268535.7,454.0495,5895.543,4010.179
68,Injector_BHP_Limit,3000.0,34.61,8815.0,3230.0,1.0,1.0,8000.0,76167.71,0.438791,4009.636,34.60754,270317.0,509.3644,6348.438,4009.636
69,Injector_BHP_Limit,3000.0,34.61,9676.0,3230.0,1.0,1.0,8000.0,76178.21,0.437175,4009.254,34.60755,271597.3,591.6469,6841.613,4009.254
70,Injector_BHP_Limit,3000.0,34.61,11808.0,3230.0,1.0,1.0,8000.0,76193.96,0.434547,4008.673,34.60757,273420.8,744.4147,8094.286,4008.673
71,Injector_BHP_Limit,3000.0,34.61,11011.0,3230.0,1.0,1.0,8000.0,76189.23,0.435309,4008.845,34.60756,272879.2,688.5263,7616.56,4008.845
72,Injector_BHP_Limit,3000.0,34.61,11544.0,3230.0,1.0,1.0,8000.0,76192.57,0.434786,4008.723,34.60757,273250.0,725.4396,7923.438,4008.723
73,Injector_BHP_Limit,3000.0,34.61,9266.0,3230.0,1.0,1.0,8000.0,76173.65,0.437935,4009.422,34.60755,271051.5,550.7175,6617.84,4009.422
74,Injector_BHP_Limit,3000.0,34.61,10312.0,3230.0,1.0,1.0,8000.0,76184.09,0.436184,4009.038,34.60756,272284.5,626.6703,7215.152,4009.038
75,Injector_BHP_Limit,3000.0,34.61,10847.0,3230.0,1.0,1.0,8000.0,76188.16,0.435494,4008.885,34.60756,272750.5,664.7849,7520.615,4008.885
76,Schedule_Timing,3000.0,34.61,10000.0,2910.0,1.0,1.0,7680.0,76037.78,0.46125,4014.956,34.60742,260895.8,610.6051,7036.635,4014.956
77,Schedule_Timing,3000.0,34.61,10000.0,2990.0,1.0,1.0,7760.0,76074.54,0.4546,4013.469,34.60746,263664.6,610.6051,7036.635,4013.469
78,Schedule_Timing,3000.0,34.61,10000.0,3380.0,1.0,1.0,8150.0,76246.07,0.425858,4006.523,34.60762,277162.5,610.6051,7036.635,4006.523
79,Schedule_Timing,3000.0,34.61,10000.0,2780.0,1.0,1.0,7550.0,75977.25,0.471426,4017.386,34.60736,256396.5,610.6051,7036.635,4017.386
80,Schedule_Timing,3000.0,34.61,10000.0,2870.0,1.0,1.0,7640.0,76011.35,0.467057,4015.689,34.60739,259511.5,610.6051,7036.635,4015.689
81,Schedule_Timing,3000.0,34.61,10000.0,3020.0,1.0,1.0,7790.0,76088.08,0.452516,4012.924,34.60747,264703.0,610.6051,7036.635,4012.924
82,Schedule_Timing,3000.0,34.61,10000.0,3220.0,1.0,1.0,7990.0,76177.05,0.437375,4009.313,34.60755,271625.0,610.6051,7036.635,4009.313
83,Schedule_Timing,3000.0,34.61,10000.0,3670.0,1.0,1.0,8440.0,76366.73,0.40642,4001.741,34.60772,287199.5,610.6051,7036.635,4001.741
84,Schedule_Timing,3000.0,34.61,10000.0,3350.0,1.0,1.0,8120.0,76233.33,0.427887,4007.035,34.6076,276124.2,610.6051,7036.635,4007.035
85,Schedule_Timing,3000.0,34.61,10000.0,3620.0,1.0,1.0,8390.0,76346.41,0.409654,4002.542,34.60771,285469.0,610.6051,7036.635,4002.542
86,Schedule_Timing,3000.0,34.61,10000.0,3540.0,1.0,1.0,8310.0,76313.42,0.414919,4003.844,34.60768,282700.1,610.6051,7036.635,4003.844
87,Schedule_Timing,3000.0,34.61,10000.0,3420.0,1.0,1.0,8190.0,76263.11,0.423151,4005.846,34.60763,278547.0,610.6051,7036.635,4005.846
88,Schedule_Timing,3000.0,34.61,10000.0,3140.0,1.0,1.0,7910.0,76141.84,0.443319,4010.744,34.60752,268856.1,610.6051,7036.635,4010.744
89,Schedule_Timing,3000.0,34.61,10000.0,3070.0,1.0,1.0,7840.0,76110.64,0.448502,4012.007,34.60749,266433.5,610.6051,7036.635,4012.007
90,Schedule_Timing,3000.0,34.61,10000.0,2730.0,1.0,1.0,7500.0,75953.46,0.476082,4018.35,34.60733,254666.0,610.6051,7036.635,4018.35
91,Schedule_Timing,3000.0,34.61,10000.0,3270.0,1.0,1.0,8040.0,76198.84,0.433678,4008.429,34.60757,273355.5,610.6051,7036.635,4008.429
92,Schedule_Timing,3000.0,34.61,10000.0,3100.0,1.0,1.0,7870.0,76124.07,0.446286,4011.466,34.6075,267471.7,610.6051,7036.635,4011.466
93,Schedule_Timing,3000.0,34.61,10000.0,3500.0,1.0,1.0,8270.0,76296.78,0.417603,4004.506,34.60766,281315.7,610.6051,7036.635,4004.506
94,Schedule_Timing,3000.0,34.61,10000.0,3580.0,1.0,1.0,8350.0,76329.91,0.412217,4003.19,34.60769,284084.5,610.6051,7036.635,4003.19
95,Schedule_Timing,3000.0,34.61,10000.0,3330.0,1.0,1.0,8100.0,76224.78,0.429435,4007.386,34.6076,275432.0,610.6051,7036.635,4007.386
96,Schedule_Timing,3000.0,34.61,10000.0,2970.0,1.0,1.0,7740.0,76065.37,0.456184,4013.836,34.60744,262972.5,610.6051,7036.635,4013.836
97,Schedule_Timing,3000.0,34.61,10000.0,3210.0,1.0,1.0,7980.0,76172.71,0.438089,4009.49,34.60755,271278.9,610.6051,7036.635,4009.49
98,Schedule_Timing,3000.0,34.61,10000.0,3460.0,1.0,1.0,8230.0,76280.01,0.420365,4005.172,34.60765,279931.4,610.6051,7036.635,4005.172
99,Schedule_Timing,3000.0,34.61,10000.0,2850.0,1.0,1.0,7620.0,76009.99,0.466113,4016.074,34.60739,258819.2,610.6051,7036.635,4016.074
100,Schedule_Timing,3000.0,34.61,10000.0,3700.0,1.0,1.0,8470.0,76378.96,0.404495,4001.264,34.60773,288237.7,610.6051,7036.635,4001.264
101,Simultaneous_Operations,3756.0,26.12,9531.0,3710.0,1.0,1.0,8480.0,75698.24,0.428755,3763.345,26.1176,218324.9,576.7239,6761.973,3763.345
102,Simultaneous_Operations,2473.0,43.75,10019.0,3450.0,1.0,1.0,8220.0,76839.15,0.393758,4258.715,43.7478,351779.1,606.3104,7049.191,4258.715
103,Simultaneous_Operations,2051.0,35.25,9330.0,2970.0,1.0,1.0,7740.0,76098.81,0.45801,4032.598,35.24744,266878.2,545.9664,6644.174,4032.598
104,Simultaneous_Operations,4535.0,43.4,10445.0,3180.0,1.0,1.0,7950.0,76716.7,0.4112,4254.489,43.3977,338009.1,627.5862,7299.537,4254.489
105,Simultaneous_Operations,2511.0,36.66,11934.0,2990.0,1.0,1.0,7760.0,76229.88,0.448851,4070.89,36.65749,280697.0,745.0659,8161.303,4070.89
106,Simultaneous_Operations,1517.0,36.12,8482.0,2910.0,1.0,1.0,7680.0,76120.79,0.463818,4058.717,36.1174,269501.6,493.2607,6158.863,4058.717
107,Simultaneous_Operations,4736.0,34.11,10763.0,3560.0,1.0,1.0,8330.0,76288.09,0.414853,3989.771,34.10768,280052.1,657.6744,7482.919,3989.771
108,Simultaneous_Operations,4359.0,38.06,8980.0,3270.0,1.0,1.0,8040.0,76420.07,0.426742,4105.75,38.05761,298357.0,521.9104,6441.853,4105.75
109,Simultaneous_Operations,3367.0,28.23,9642.0,2820.0,1.0,1.0,7590.0,75479.98,0.491824,3836.111,28.22724,210676.7,575.2435,6833.169,3836.111
110,Simultaneous_Operations,2891.0,31.09,11822.0,2890.0,1.0,1.0,7660.0,75768.21,0.472069,3915.814,31.08736,235329.3,736.3342,8097.666,3915.814
111,Simultaneous_Operations,3079.0,28.87,8344.0,2860.0,1.0,1.0,7630.0,75540.32,0.485205,3854.222,28.86728,215069.0,482.7521,6075.312,3854.222
112,Simultaneous_Operations,3262.0,29.71,11329.0,3360.0,1.0,1.0,8130.0,75867.07,0.440138,3869.255,29.70753,238709.8,700.0955,7807.498,3869.255
113,Simultaneous_Operations,1802.0,44.52,10624.0,3120.0,1.0,1.0,7890.0,76753.39,0.413751,4286.746,44.51769,344158.1,660.6632,7396.293,4286.746
114,Simultaneous_Operations,1935.0,38.49,11224.0,3050.0,1.0,1.0,7820.0,76376.36,0.438114,4121.036,38.48755,296268.2,709.2082,7733.97,4121.036
115,Simultaneous_Operations,4268.0,34.37,10549.0,3340.0,1.0,1.0,8110.0,76208.38,0.433332,4000.748,34.36757,274425.8,650.2111,7358.668,4000.748
116,Simultaneous_Operations,4673.0,32.75,11715.0,3610.0,1.0,1.0,8380.0,76213.92,0.412939,3950.809,32.74769,271262.1,730.7977,8026.429,3950.809
117,Simultaneous_Operations,2366.0,24.83,9235.0,3640.0,1.0,1.0,8410.0,75540.71,0.446653,3727.88,24.82749,205730.2,547.2507,6592.536,3727.88
118,Simultaneous_Operations,4158.0,40.66,8303.0,3300.0,1.0,1.0,8070.0,76571.88,0.408821,4177.745,40.65771,317283.8,473.6324,6056.589,4177.745
119,Simultaneous_Operations,4940.0,27.87,8635.0,3040.0,1.0,1.0,7810.0,75543.76,0.475237,3822.69,27.86734,213192.3,504.244,6252.817,3822.69
120,Simultaneous_Operations,3509.0,30.18,11475.0,2750.0,1.0,1.0,7520.0,75625.75,0.484151,3892.431,30.17729,224116.9,719.4623,7894.85,3892.431
121,Simultaneous_Operations,4183.0,25.31,9935.0,2780.0,1.0,1.0,7550.0,75181.21,0.522224,3753.276,25.30707,188350.6,591.555,7002.932,3753.276
122,Simultaneous_Operations,3948.0,34.99,8182.0,3600.0,1.0,1.0,8370.0,76338.24,0.415169,4014.732,34.98767,284733.6,554.5735,5998.258,4014.732
123,Simultaneous_Operations,2609.0,39.38,11188.0,2730.0,1.0,1.0,7500.0,76290.12,0.459434,4152.43,39.37743,290379.0,686.0773,7742.002,4152.43
124,Simultaneous_Operations,1889.0,37.77,8056.0,2790.0,1.0,1.0,7560.0,76166.5,0.471273,4107.865,37.76736,275523.4,462.4244,5923.609,4107.865
125,Simultaneous_Operations,4905.0,26.68,8871.0,3070.0,1.0,1.0,7840.0,75453.81,0.486626,3788.291,26.67727,205307.1,513.7704,6404.797,3788.291
126,Simultaneous_Operations,2276.0,26.85,9739.0,2870.0,1.0,1.0,7640.0,75379.39,0.502568,3795.944,26.84718,201943.5,578.2925,6889.166,3795.944
127,Simultaneous_Operations,1725.0,42.2,11644.0,3320.0,1.0,1.0,8090.0,76706.94,0.400197,4217.974,42.19776,336167.9,733.9508,7988.779,4217.974
128,Simultaneous_Operations,3663.0,24.27,10124.0,3500.0,1.0,1.0,8270.0,75427.08,0.459701,3713.579,24.26742,198279.3,613.9146,7111.752,3713.579
129,Simultaneous_Operations,2669.0,29.39,8706.0,3130.0,1.0,1.0,7900.0,75715.52,0.461303,3864.457,29.38741,227304.5,511.4047,6297.597,3864.457
130,Simultaneous_Operations,1587.0,30.57,11405.0,3690.0,1.0,1.0,8460.0,76078.07,0.414232,3888.575,30.56768,255674.5,701.059,7863.446,3888.575
131,Simultaneous_Operations,2929.0,35.59,10233.0,3540.0,1.0,1.0,8310.0,76379.8,0.412962,4031.539,35.58769,290812.4,620.3549,7165.207,4031.539
132,Simultaneous_Operations,2757.0,25.69,8454.0,2940.0,1.0,1.0,7710.0,75286.78,0.5045,3762.162,25.68717,194050.2,497.2362,6151.384,3762.162
133,Simultaneous_Operations,3243.0,44.75,10706.0,3390.0,1.0,1.0,8160.0,76872.97,0.383601,4286.876,44.74786,358106.7,652.2962,7457.52,4286.876
134,Simultaneous_Operations,4819.0,33.64,8113.0,2840.0,1.0,1.0,7610.0,75902.65,0.47569,3990.301,33.63734,248351.7,457.9845,5956.825,3990.301
135,Simultaneous_Operations,4583.0,31.5,11857.0,3020.0,1.0,1.0,7790.0,75861.33,0.460261,3925.216,31.49742,242504.2,742.841,8110.064,3925.216
136,Simultaneous_Operations,1676.0,41.05,10885.0,3370.0,1.0,1.0,8140.0,76666.63,0.405947,4185.704,41.04773,328425.5,669.0253,7545.037,4185.704
137,Simultaneous_Operations,3707.0,36.99,11093.0,2950.0,1.0,1.0,7720.0,76231.17,0.451974,4081.104,36.98747,281083.1,687.757,7657.521,4081.104
138,Simultaneous_Operations,3149.0,40.41,9854.0,3090.0,1.0,1.0,7860.0,76502.03,0.431308,4174.088,40.40759,310692.5,604.9965,6947.679,4174.088
139,Simultaneous_Operations,3870.0,27.32,9431.0,3410.0,1.0,1.0,8180.0,75675.67,0.443725,3801.332,27.31751,219940.8,555.3714,6698.022,3801.332
140,Simultaneous_Operations,2110.0,32.26,10342.0,3150.0,1.0,1.0,7920.0,75968.87,0.448723,3944.793,32.25749,251506.1,620.1566,7229.062,3944.793
141,Simultaneous_Operations,4432.0,42.53,11582.0,3660.0,1.0,1.0,8430.0,76867.67,0.381201,4220.352,42.52787,353149.0,717.7453,7945.081,4220.352
142,Simultaneous_Operations,4471.0,39.85,9134.0,3510.0,1.0,1.0,8280.0,76633.82,0.405282,4150.709,39.84773,321884.3,534.2012,6533.425,4150.709
143,Simultaneous_Operations,2808.0,28.4,9817.0,3210.0,1.0,1.0,7980.0,75673.56,0.453487,3834.778,28.39746,223145.6,587.733,6924.457,3834.778
144,Simultaneous_Operations,3022.0,32.98,10307.0,3240.0,1.0,1.0,8010.0,76064.6,0.439547,3963.556,32.97754,259974.6,627.7393,7202.649,3963.556
145,Simultaneous_Operations,3430.0,42.92,9049.0,3570.0,1.0,1.0,8340.0,76829.34,0.386843,4233.903,42.91784,348273.0,537.0549,6492.235,4233.903
146,Simultaneous_Operations,2208.0,31.75,9478.0,3440.0,1.0,1.0,8210.0,76050.14,0.429783,3925.928,31.74759,256006.4,572.7269,6733.52,3925.928
147,Simultaneous_Operations,4036.0,37.24,11010.0,3680.0,1.0,1.0,8450.0,76555.78,0.397543,4074.784,37.23777,310068.0,673.7968,7615.642,4074.784
148,Simultaneous_Operations,3548.0,41.97,10805.0,3480.0,1.0,1.0,8250.0,76762.36,0.394318,4208.708,41.9678,340186.2,656.6804,7501.312,4208.708
149,Simultaneous_Operations,2191.0,41.32,8948.0,3260.0,1.0,1.0,8030.0,76615.0,0.41691,4196.354,41.31767,322628.5,522.6743,6427.658,4196.354
150,Simultaneous_Operations,3978.0,38.81,8784.0,3200.0,1.0,1.0,7970.0,76434.57,0.430445,4128.109,38.80759,300903.2,510.5087,6335.577,4128.109
151,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.477,1.411,8000.0,106365.1,0.682756,3688.577,34.60617,273582.5,894.5364,7037.961,3688.577
152,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.283,1.006,8000.0,76872.74,0.420963,3768.591,34.60764,273820.7,779.4295,7039.078,3768.591
153,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.198,1.34,8000.0,100929.4,0.639942,3862.28,34.60642,272232.7,727.6629,7043.306,3862.28
154,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,0.793,0.564,8000.0,43855.16,0.203385,4210.861,34.60886,272468.3,483.345,7039.562,4210.861
155,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.615,1.191,8000.0,90647.17,0.524806,3609.786,34.60705,274518.2,972.0449,7028.59,3609.786
156,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.53,1.261,8000.0,95636.67,0.570512,3652.04,34.6068,274126.7,921.5571,7036.198,3652.04
157,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,0.342,0.584,8000.0,44814.55,0.270761,6063.001,34.60849,221538.6,204.2117,10000.02,6063.001
158,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.717,0.955,8000.0,73460.76,0.386206,3555.976,34.60783,275191.0,1033.088,7039.025,3555.976
159,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.067,1.339,8000.0,100672.7,0.647474,3980.246,34.60638,271064.4,642.2639,7035.516,3980.246
160,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.019,0.887,8000.0,67946.68,0.372774,3973.381,34.60791,272682.6,621.9437,7026.848,3973.381
161,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,1.439,0.853,8000.0,65749.88,0.340526,3665.753,34.60809,274798.0,870.1072,7045.681,3665.753
162,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,0.367,1.202,8000.0,88862.12,0.791484,6291.813,34.60553,196214.3,227.9487,7033.92,6084.308
163,Geological_Uncertainty,3000.0,34.61,10000.0,3230.0,0.146,0.876,8000.0,61586.96,0.80043,6414.418,11.77932,60218.01,108.5965,7031.885,6073.854
